,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
780,sibolga,id,-4.6252044805798675,90.67222905619559,70.54,98,36,2.55
781,deniliquin,au,-35.04399390203603,145.06247899799524,65.05,50,24,11.83
783,kohlu,pk,29.850065358054763,69.36272027669082,57.76,35,0,5.41
789,san vicente,ph,18.96339208287968,123.5511474712647,83.86,100,44,12.28
790,tuatapere,nz,-49.16905274596649,158.15723556345785,55.6,94,80,8.43
795,concepcion del oro,mx,24.831543531919337,-101.17185347237877,79.63,21,80,5.75
797,benghazi,ly,33.44130913203624,18.640541433605364,67.03,95,0,21.23
802,zhigansk,ru,67.7203300741404,119.11176022367562,37.06,99,88,4
803,fairbanks,us,68.53767569296633,-144.09325112407362,38.35,51,75,9.17
808,mafra,pt,38.92175661984513,-9.329564436665066,55.15,100,0,7.87
814,puerto ayacucho,ve,5.8553379375148324,-67.74559145309622,72.7,100,92,2.51
820,penzance,gb,49.3762965490738,-6.806456413565684,49.48,95,44,12.8
821,hualmay,pe,-14.479696185531878,-82.27331296983142,67.84,84,0,4.79
823,sur,om,20.139184329896267,63.35400252524579,85.75,78,0,4.52
825,luwingu,zm,-10.169284920394333,29.59995267117293,65.23,72,20,7.54
827,pisco,pe,-18.449062514109542,-84.12275174708728,68.02,83,0,2.06
829,cherskiy,ru,82.00050764542067,158.08386772253942,31.93,82,20,6.8
835,port antonio,jm,18.161630406238316,-75.91078024433745,79.99,98,88,9.93
836,moose factory,ca,53.0298387091392,-79.77950984355545,42.1,79,88,9.78
845,vestmanna,fo,66.80286177431418,-8.199353680432523,39.2,80,44,13.87
849,charters towers,au,-22.960581972011823,143.24640513534996,69.64,95,68,8.81
851,faanui,pf,-6.775869695317468,-150.38603967512537,82.51,100,80,11.16
854,saint-pierre,pm,42.397339947245115,-53.95817484135385,38.05,94,48,18.84
857,kaoma,zm,-14.671356158933321,25.190674867019595,66.31,44,100,6.76
866,muisne,ec,3.1476091568407583,-82.77972906902957,75.04,98,92,3.89
872,madera,mx,28.671180832209842,-108.513552570473,60.64,41,0,18.88
874,baykit,ru,60.982988987304424,94.74718131942632,22.84,66,36,3.51
879,tommot,ru,59.03106864687794,125.9603171902798,48.85,53,0,9.93
883,saint george,bm,35.54482835766267,-59.64528193232674,69.73,100,0,6.13
884,vasai,in,19.36206135685184,72.25218051819971,74.77,95,0,9.04
